,dataset,acc,auc,ap,prec,rec,f1,mitigation,mitigated_attribute,CFS_true,attribute,dpdiff,dpr,eoddsdiff,eoddsr,y_pred_CFS,sampling
80,ACS_E,0.720342114988649,0.7621822394619577,0.6421643518246523,0.6260254860013023,0.9687652934910902,0.7605659268634453,balance_output_for_attribute,attribute_1,0.8593585725261027,attribute_1,0.0311385533002448,0.9570421316312387,0.1259550907582342,0.7700982676752791,0.919381947120812,RandomOverSampler
81,ACS_E,0.720342114988649,0.7621822394619577,0.6421643518246523,0.6260254860013023,0.9687652934910902,0.7605659268634453,balance_output_for_attribute,attribute_1,0.8628069869370913,attribute_2,0.2421406750996464,0.6811457784318226,0.2743581529513001,0.493452920868459,0.8365740562926227,RandomOverSampler
82,ACS_E,0.7200781373739507,0.7605180961455615,0.6404202173330776,0.6256898121481261,0.9693986239456488,0.7605131216405439,balance_output_for_attribute,attribute_2,0.8593585725261027,attribute_1,0.0300593847356809,0.9585487928440204,0.1243158270050374,0.7732023613449559,0.9208802098800328,RandomOverSampler
83,ACS_E,0.7200781373739507,0.7605180961455615,0.6404202173330776,0.6256898121481261,0.9693986239456488,0.7605131216405439,balance_output_for_attribute,attribute_2,0.8628069869370913,attribute_2,0.2345108807509631,0.6906043961757916,0.2651700939287686,0.5076368539858889,0.8366144885674797,RandomOverSampler
84,ACS_E,0.7199065519243968,0.7607272383238672,0.6406215820416673,0.6255387130331401,0.9693986239456488,0.7604014948796983,balance_output_for_attribute,all,0.8593585725261027,attribute_1,0.0309259888024469,0.9573889610669504,0.125589015024886,0.7712559472563324,0.9196526016376804,RandomOverSampler
85,ACS_E,0.7199065519243968,0.7607272383238672,0.6406215820416673,0.6255387130331401,0.9693986239456488,0.7604014948796983,balance_output_for_attribute,all,0.8628069869370913,attribute_2,0.2364705720068629,0.6886122493463717,0.2671399555732741,0.5061602454446322,0.8370540463449693,RandomOverSampler
86,ACS_P,0.6457002634332937,0.6531144347907455,0.510406257088821,0.6041765543426673,0.1241103636540899,0.2059204141054675,none,none,0.8818027083838871,attribute_1,0.0043637819028117,0.9440332264444714,0.0078183378899369,0.8633424952672143,0.9174329763664788,RandomOverSampler
87,ACS_P,0.6457002634332937,0.6531144347907455,0.510406257088821,0.6041765543426673,0.1241103636540899,0.2059204141054675,none,none,0.8874889522878378,attribute_2,0.0590214411394513,0.4973858328229883,0.1103726528021431,0.4164045983086681,0.907468572654816,RandomOverSampler
88,ACS_P,0.6481902493594601,0.6528264760991438,0.509308704078999,0.6092943201376936,0.1380520620064346,0.2251013432954455,balance_output,none,0.8818027083838871,attribute_1,0.0045509194589925,0.947011348655718,0.0086246334456358,0.8669222080524686,0.918262022525421,RandomOverSampler
89,ACS_P,0.6481902493594601,0.6528264760991438,0.509308704078999,0.6092943201376936,0.1380520620064346,0.2251013432954455,balance_output,none,0.8874889522878378,attribute_2,0.0646705850534442,0.4969374681900349,0.1142361267299416,0.4445760734854559,0.9095230613874572,RandomOverSampler
90,ACS_P,0.6455198296705279,0.6514536674454041,0.5090106748889465,0.596875,0.1303500048747197,0.2139713531247499,balance_attribute,attribute_1,0.8818027083838871,attribute_1,0.0037804846393146,0.9541824283021426,0.0070403247014225,0.87893212896381,0.9211554081556522,RandomOverSampler
91,ACS_P,0.6455198296705279,0.6514536674454041,0.5090106748889465,0.596875,0.1303500048747197,0.2139713531247499,balance_attribute,attribute_1,0.8874889522878378,attribute_2,0.0563124974089406,0.5279087004784145,0.1149048625792811,0.425475687103594,0.9031655888289186,RandomOverSampler
